class,codeword
0,00000000000011111111111
1,00000001111100001011111
2,00000001111111110100001
3,00000110011100110101110
4,00000110101111001110100
5,00000111110001111010010
6,00001011001110111011000
7,00001011110011000101110
8,00010101010111010011100
9,00010101101010011101010
